label,chrF++
Arab-Arab,18.411990086162824
Arab-Cyrl,24.395755392550104
Arab-Latn,20.23884427103962
Arab-other,19.385056444195957
Cyrl-Arab,19.17022564595503
Cyrl-Cyrl,29.32999506754434
Cyrl-Latn,22.344560500275502
Cyrl-other,21.587771257416655
Latn-Arab,17.42447986890578
Latn-Cyrl,24.610157753084774
Latn-Latn,20.934719567291815
Latn-other,19.265205565024747
other-Arab,17.59549111542174
other-Cyrl,24.64280025103807
other-Latn,20.382176473275234
other-other,20.109368618703332
