label,chrF++,size
xx-afr_Latn,34.49100140072053,1770414
xx-amh_Ethi,16.460674294193645,291570
xx-arb_Arab,25.416285227959037,92455378
xx-azj_Latn,25.464841658348025,7179300
xx-bel_Cyrl,23.874169962039677,2156584
xx-bul_Cyrl,32.81322474758564,32555640
xx-ben_Beng,24.99851469080362,15183514
xx-cat_Latn,33.21891806292844,19438615
xx-ceb_Latn,36.63280753319659,415208
xx-ces_Latn,26.48919096921245,82262078
xx-cym_Latn,30.426289496370224,1066595
xx-dan_Latn,33.29715343500318,36884558
xx-deu_Latn,32.09882514072582,545956997
xx-ell_Grek,27.511082279766825,68739380
xx-eng_Latn,37.04838935048277,3928733379
xx-epo_Latn,34.42302159353181,560151
xx-spa_Latn,31.301396788055275,591272119
xx-est_Latn,29.49818205756002,10401882
xx-eus_Latn,29.83203125705272,2077113
xx-pes_Arab,28.249428542322352,81252911
xx-fin_Latn,28.92879016053966,36807562
xx-tgl_Latn,37.84751493480851,2331209
xx-fra_Latn,34.648176088885954,454229019
xx-gle_Latn,28.784108542114332,611457
xx-gla_Latn,28.873707699932872,201237
xx-glg_Latn,32.16026267518262,3762255
xx-guj_Gujr,25.45422086160048,1292191
xx-hau_Latn,30.10571902754088,363002
xx-hin_Deva,27.905543179745624,26946979
xx-hat_Latn,30.55500538273927,232354
xx-hun_Latn,27.2526440842269,56645732
xx-hye_Armn,28.926398438113647,3873029
xx-ind_Latn,36.41551689271172,19423746
xx-ibo_Latn,24.55326820768501,110582
xx-isl_Latn,25.53810084567697,3139312
xx-ita_Latn,30.131228361244684,267686115
xx-heb_Hebr,25.43418710395272,17607812
xx-jpn_Jpan,13.957925090618469,85461924
xx-jav_Latn,32.30824984099208,218969
xx-kat_Geor,28.04751686766843,3726808
xx-kaz_Cyrl,28.46820452190314,3421165
xx-khm_Khmr,24.000884141054225,1384128
xx-kan_Knda,27.20798966111644,1916445
xx-kor_Hang,14.322532241890617,24035493
xx-kmr_Latn,25.277468655228684,399027
xx-kir_Cyrl,25.137385896832853,1198504
xx-ltz_Latn,29.724364898322985,850921
xx-lao_Laoo,29.194536626388302,302612
xx-lit_Latn,28.4645641113496,18234466
xx-lvs_Latn,28.982457245782623,9882376
xx-plt_Latn,34.52428936400093,263321
xx-mri_Latn,33.04638510962807,148146
xx-mkd_Cyrl,32.07097121706073,3599707
xx-mal_Mlym,26.97248613419399,3604562
xx-khk_Cyrl,26.01617213591336,2947312
xx-mar_Deva,25.032650958420128,4555599
xx-zsm_Latn,36.08848115235814,4688036
xx-mlt_Latn,29.055742236167948,1109191
xx-mya_Mymr,27.73983269112728,1248242
xx-npi_Deva,26.414000746865018,4679412
xx-nld_Latn,30.50932716193658,136379427
xx-nob_Latn,31.080705652448533,30644684
xx-nya_Latn,28.94199916825991,114952
xx-pan_Guru,25.1690892663315,729394
xx-pol_Latn,25.75168162429906,178690573
xx-por_Latn,33.530991613703755,246401954
xx-ron_Latn,32.13314530429155,66499899
xx-rus_Cyrl,28.5124939270492,1014646036
xx-snd_Arab,24.748351335066936,210835
xx-sin_Sinh,23.99741925672461,846125
xx-slk_Latn,27.41676723102069,26721250
xx-slv_Latn,28.7702185133904,12381886
xx-smo_Latn,35.951146393294074,102125
xx-sna_Latn,26.738720268735232,124984
xx-som_Latn,25.7821770486667,1168106
xx-als_Latn,32.11335469628187,7023573
xx-srp_Cyrl,29.642967427630808,4775217
xx-sot_Latn,32.25805798792484,99970
xx-sun_Latn,30.10762042241632,153302
xx-swe_Latn,32.0322998708778,63308307
xx-swh_Latn,33.35582092669488,1279408
xx-tam_Taml,29.65977226772596,5769533
xx-tel_Telu,26.559196551241037,2034828
xx-tgk_Cyrl,28.04036832120793,1563304
xx-tha_Thai,26.079939097002352,28021205
xx-tur_Latn,28.61844947053828,132662955
xx-ukr_Cyrl,27.9506979043658,56159593
xx-urd_Arab,26.154895343593,3432478
xx-uzn_Latn,29.95100650452213,1183603
xx-vie_Latn,29.46035328278864,132667573
xx-xho_Latn,25.96618808214375,122232
xx-ydd_Hebr,30.83223261233181,173510
xx-yor_Latn,15.873849209982566,86686
xx-zho_Hant,10.744524428336543,215327817
xx-zul_Latn,28.047398352119163,261239
