label,chrF++,size
afr_Latn-xx,28.29930764312652,1770414
amh_Ethi-xx,24.27718375785861,291570
arb_Arab-xx,25.754536730842915,92455378
azj_Latn-xx,24.054699771488902,7179300
bel_Cyrl-xx,24.507289367197355,2156584
bul_Cyrl-xx,26.88333413330859,32555640
ben_Beng-xx,24.886720937557467,15183514
cat_Latn-xx,27.561263833178156,19438615
ceb_Latn-xx,27.30081241862572,415208
ces_Latn-xx,26.937174415500863,82262078
cym_Latn-xx,26.936616233141525,1066595
dan_Latn-xx,27.561498757371368,36884558
deu_Latn-xx,27.581242346226556,545956997
ell_Grek-xx,25.509505508152337,68739380
eng_Latn-xx,29.02534754164632,3928733379
epo_Latn-xx,27.25041298606169,560151
spa_Latn-xx,26.88047998336217,591272119
est_Latn-xx,26.31185120811692,10401882
eus_Latn-xx,25.68767371795713,2077113
pes_Arab-xx,25.820622063748665,81252911
fin_Latn-xx,25.72027503781059,36807562
tgl_Latn-xx,27.10877153754615,2331209
fra_Latn-xx,27.464243905038373,454229019
gle_Latn-xx,25.872549965906856,611457
gla_Latn-xx,24.47321951984512,201237
glg_Latn-xx,27.84131809699516,3762255
guj_Gujr-xx,25.0795476607354,1292191
hau_Latn-xx,24.707511918640968,363002
hin_Deva-xx,25.97789321429739,26946979
hat_Latn-xx,26.194505399235084,232354
hun_Latn-xx,25.84019703200513,56645732
hye_Armn-xx,25.727028546426755,3873029
ind_Latn-xx,27.30652163221874,19423746
ibo_Latn-xx,23.297027848440692,110582
isl_Latn-xx,25.22995816668269,3139312
ita_Latn-xx,26.959486507469837,267686115
heb_Hebr-xx,25.969678083177072,17607812
jpn_Jpan-xx,24.212369797995784,85461924
jav_Latn-xx,26.39732464400552,218969
kat_Geor-xx,25.029902836601497,3726808
kaz_Cyrl-xx,24.84481888404542,3421165
khm_Khmr-xx,25.769718830354982,1384128
kan_Knda-xx,24.304365232353963,1916445
kor_Hang-xx,24.44097030243193,24035493
kmr_Latn-xx,23.987379072445385,399027
kir_Cyrl-xx,23.98010971948576,1198504
ltz_Latn-xx,27.34672914573325,850921
lao_Laoo-xx,25.789157849881704,302612
lit_Latn-xx,25.45969296576866,18234466
lvs_Latn-xx,26.24691164856792,9882376
plt_Latn-xx,24.90695043445212,263321
mri_Latn-xx,22.322927809683595,148146
mkd_Cyrl-xx,27.07557481252877,3599707
mal_Mlym-xx,24.826678700331318,3604562
khk_Cyrl-xx,23.70494276288295,2947312
mar_Deva-xx,25.212980094588584,4555599
zsm_Latn-xx,27.502301609149963,4688036
mlt_Latn-xx,27.325746546753,1109191
mya_Mymr-xx,23.118807225869748,1248242
npi_Deva-xx,25.41906245608532,4679412
nld_Latn-xx,25.94485501218208,136379427
nob_Latn-xx,27.187827841710703,30644684
nya_Latn-xx,23.100897246344022,114952
pan_Guru-xx,25.453268069024126,729394
pol_Latn-xx,26.03627524861135,178690573
por_Latn-xx,28.53081401398569,246401954
ron_Latn-xx,27.47041839037229,66499899
rus_Cyrl-xx,26.24396303517368,1014646036
snd_Arab-xx,24.814907785317857,210835
sin_Sinh-xx,24.40429496779317,846125
slk_Latn-xx,26.556590853890643,26721250
slv_Latn-xx,26.41130552548966,12381886
smo_Latn-xx,24.320790326454368,102125
sna_Latn-xx,23.157477828171,124984
som_Latn-xx,23.673935329077537,1168106
als_Latn-xx,26.98018643130364,7023573
srp_Cyrl-xx,27.336922924131784,4775217
sot_Latn-xx,24.68540506431912,99970
sun_Latn-xx,25.818991632663774,153302
swe_Latn-xx,27.332408192205467,63308307
swh_Latn-xx,25.88042454512467,1279408
tam_Taml-xx,24.49920232025607,5769533
tel_Telu-xx,25.304732546905385,2034828
tgk_Cyrl-xx,25.37134736394014,1563304
tha_Thai-xx,25.368924316572013,28021205
tur_Latn-xx,26.27651017588738,132662955
ukr_Cyrl-xx,25.79985775925484,56159593
urd_Arab-xx,24.508663428719704,3432478
uzn_Latn-xx,25.3288316408931,1183603
vie_Latn-xx,25.53278689499709,132667573
xho_Latn-xx,24.987785375387627,122232
ydd_Hebr-xx,25.724462547808223,173510
yor_Latn-xx,20.735405148457737,86686
zho_Hant-xx,22.934060097422083,215327817
zul_Latn-xx,24.94371358415662,261239
