label,chrF++,size
xx-afr_Latn,30.82611199249472,1770414
xx-amh_Ethi,12.743958404143129,291570
xx-arb_Arab,22.49868001576476,92455378
xx-azj_Latn,22.79829469904142,7179300
xx-bel_Cyrl,21.95145874048008,2156584
xx-bul_Cyrl,29.981159040081828,32555640
xx-ben_Beng,22.008095660006497,15183514
xx-cat_Latn,29.41893793309917,19438615
xx-ceb_Latn,32.57854377655129,415208
xx-ces_Latn,23.67957813912141,82262078
xx-cym_Latn,24.099091845966743,1066595
xx-dan_Latn,30.202281951588937,36884558
xx-deu_Latn,29.29079143594176,545956997
xx-ell_Grek,24.74213989428718,68739380
xx-eng_Latn,33.77332678212158,3928733379
xx-epo_Latn,31.880478856816623,560151
xx-spa_Latn,29.197809564832696,591272119
xx-est_Latn,26.478705373530413,10401882
xx-eus_Latn,26.44508836225036,2077113
xx-pes_Arab,25.66658325130976,81252911
xx-fin_Latn,26.46646257691929,36807562
xx-tgl_Latn,33.47982291267535,2331209
xx-fra_Latn,31.020737313205952,454229019
xx-gle_Latn,24.49938627018337,611457
xx-gla_Latn,23.560428040588214,201237
xx-glg_Latn,28.511376809471468,3762255
xx-guj_Gujr,22.296148968509595,1292191
xx-hau_Latn,25.99275871838708,363002
xx-hin_Deva,24.868872642119037,26946979
xx-hat_Latn,26.32200229912949,232354
xx-hun_Latn,24.71171880918543,56645732
xx-hye_Armn,25.8883352685121,3873029
xx-ind_Latn,32.9689095447229,19423746
xx-ibo_Latn,19.155350541070263,110582
xx-isl_Latn,23.09463604240757,3139312
xx-ita_Latn,27.43003534545817,267686115
xx-heb_Hebr,22.364639266598907,17607812
xx-jpn_Jpan,12.669227111531342,85461924
xx-jav_Latn,28.591743352543585,218969
xx-kat_Geor,25.624995937081053,3726808
xx-kaz_Cyrl,24.950232050838405,3421165
xx-khm_Khmr,21.573432419784652,1384128
xx-kan_Knda,24.5569184944864,1916445
xx-kor_Hang,12.31614216267391,24035493
xx-kmr_Latn,21.42670936655868,399027
xx-kir_Cyrl,22.976344327041737,1198504
xx-ltz_Latn,25.53947767192569,850921
xx-lao_Laoo,26.58622123072257,302612
xx-lit_Latn,25.60029090699465,18234466
xx-lvs_Latn,25.938609282984675,9882376
xx-plt_Latn,30.476930417275938,263321
xx-mri_Latn,28.1993769453526,148146
xx-mkd_Cyrl,29.130456799525867,3599707
xx-mal_Mlym,24.557219103943545,3604562
xx-khk_Cyrl,22.267223511774485,2947312
xx-mar_Deva,21.1405562076944,4555599
xx-zsm_Latn,32.25852846613142,4688036
xx-mlt_Latn,22.401153260308924,1109191
xx-mya_Mymr,25.354264935059025,1248242
xx-npi_Deva,22.60670293530353,4679412
xx-nld_Latn,28.244098431809128,136379427
xx-nob_Latn,28.32147925289692,30644684
xx-nya_Latn,24.79863537672536,114952
xx-pan_Guru,21.537558168480597,729394
xx-pol_Latn,23.85542385375372,178690573
xx-por_Latn,29.87331859050628,246401954
xx-ron_Latn,28.877695110193013,66499899
xx-rus_Cyrl,26.49631126594281,1014646036
xx-snd_Arab,19.50448688829023,210835
xx-sin_Sinh,20.28266333647382,846125
xx-slk_Latn,24.529571963932543,26721250
xx-slv_Latn,25.97376730265838,12381886
xx-smo_Latn,30.779873376907148,102125
xx-sna_Latn,23.224206009322558,124984
xx-som_Latn,22.54673025668984,1168106
xx-als_Latn,29.060885954899145,7023573
xx-srp_Cyrl,26.80929958031308,4775217
xx-sot_Latn,26.89433189075671,99970
xx-sun_Latn,27.13885313771675,153302
xx-swe_Latn,28.803144002818776,63308307
xx-swh_Latn,29.29612021143999,1279408
xx-tam_Taml,27.5543326537961,5769533
xx-tel_Telu,23.841939872276267,2034828
xx-tgk_Cyrl,24.93550658987464,1563304
xx-tha_Thai,23.72939910625716,28021205
xx-tur_Latn,25.844718292850192,132662955
xx-ukr_Cyrl,25.52767150268246,56159593
xx-urd_Arab,23.4531189287824,3432478
xx-uzn_Latn,25.428856443913823,1183603
xx-vie_Latn,24.38512524669352,132667573
xx-xho_Latn,22.41790809252132,122232
xx-ydd_Hebr,26.751607354369973,173510
xx-yor_Latn,7.820957374687658,86686
xx-zho_Hant,9.468598413213591,215327817
xx-zul_Latn,23.648480806326692,261239
