label,chrF++_baseline,chrF++_scaffold,chrF++_packed
in-in,28.340328333155863,30.9440138643299,27.835229079658752
in-out,17.135435141511742,22.67788578227792,19.890365387063923
out-in,23.57349056926101,25.153884123495185,23.587540476752785
out-out,15.20799241596774,19.25410610924948,17.70704419150448
xx-yy,20.163826033118053,23.7508857524092,21.488136379862777
avg,20.250697046395477,23.847774282969,21.556500694800512
