label,chrF++_baseline,chrF++_scaffold,chrF++_packed
in-in,20.496944876073837,24.525301353788585,22.57521326221986
in-out,17.169699348399313,21.205519389959974,19.05666643349158
out-in,19.128573934480716,21.1417115286516,20.462290159370998
out-out,16.36584582119936,18.67476096388754,17.664392660646744
xx-yy,17.456192214807263,20.60189719517525,19.064326301120573
avg,17.484478085881378,20.668840730559715,19.10310234254432
