label,chrF++_baseline,chrF++_scaffold,chrF++_packed
xx-Arab,17.7,21.0,19.2
xx-Cyrl,24.8,26.5,24.5
xx-Latn,20.8,25.0,22.3
xx-other,19.6,21.4,20.5
Arab-xx,20.2,23.4,21.4
Cyrl-xx,22.3,26.2,23.5
Latn-xx,20.5,24.0,21.8
other-xx,20.3,23.7,21.6
Arab-Arab,18.4,21.7,19.7
Arab-Cyrl,24.4,26.1,24.2
Arab-Latn,20.2,24.1,21.7
Arab-other,19.4,21.2,20.3
Cyrl-Arab,19.2,23.3,20.8
Cyrl-Cyrl,29.3,31.1,28.1
Cyrl-Latn,22.3,27.0,23.7
Cyrl-other,21.6,23.6,22.4
Latn-Arab,17.4,20.7,19.0
Latn-Cyrl,24.6,26.3,24.2
Latn-Latn,20.9,25.2,22.5
Latn-other,19.3,21.0,20.2
other-Arab,17.6,21.0,19.3
other-Cyrl,24.6,26.3,24.3
other-Latn,20.4,24.4,21.9
other-other,20.1,22.2,20.9
