label,chrF++_baseline,chrF++_scaffold,chrF++_packed
xx-eng,33.8,34.6,31.3
eng-xx,24.6,32.9,25.8
in-in,28.3,30.9,27.8
in-out,17.1,22.7,19.9
out-in,23.6,25.2,23.6
out-out,15.2,19.3,17.7
avg,20.3,23.8,21.6
